Fastq_name	target	sple_info	experiment	type	otherID	sampleID	tissue	factor	condition	treatment	replicate	pair_ended	shortLabel	longLabel	TH_type	visibility	colorR	colorG	colorB	maxHeightPixels	autoScale	viewLimits_low	viewLimits_high	priority	windowingFunction
ChIP-Dlx5_CCTCGG_L002_R1.fastq.gz	DLX5_E13.5	DLX5_BG_E13.5_ChIP_repO2	DLX190407-8	ChIP		DLX5_BG_E13.5_ChIP_repO2	BG	DLX5	WT	E13.5	O2	no	DLX5_BG_E13.5_ChIP_repO2	DLX5_BG_E13.5_ChIP_repO2	bigWig	full	255	128	0	50	on	0	50	70135	mean

Dlx1_Dlx5_BG_e13-5_Input_rep1.fastq.gz	DLX5_E13.5	DLX5_BG_E13.5_Input_repO2	DLX190407-8	Input		DLX5_BG_E13.5_Input_repO2	BG	DLX5	WT	E13.5	O2	no	DLX5_BG_E13.5_Input_repO2	DLX5_BG_E13.5_Input_repO2	bigWig	full	255	128	0	50	on	0	50	70136	

																									

Dlx5-ChIP_BG_e13_Rep5_S127_L008_R1_001.fastq.gz	DLX5_E13.5	DLX5_BG_E13.5_ChIP_repN5	DLX190407-9	ChIP		DLX5_BG_E13.5_ChIP_repN5	BG	DLX5	WT	E13.5	N5	no	DLX5_BG_E13.5_ChIP_repN5	DLX5_BG_E13.5_ChIP_repN5	bigWig	full	255	128	0	50	on	0	50	70138	mean

Dlx5-Input_BG_e13_Rep5_S126_L008_R1_001.fastq.gz	DLX5_E13.5	DLX5_BG_E13.5_Input_repN5	DLX190407-9	Input		DLX5_BG_E13.5_Input_repN5	BG	DLX5	WT	E13.5	N5	no	DLX5_BG_E13.5_Input_repN5	DLX5_BG_E13.5_Input_repN5	bigWig	full	255	128	0	50	on	0	50	70139	

																									

# SP9																									

SP9-BG-e13_S87_L008_R1_001.fastq.gz	SP9_E13.5	SP9_BG_E13.5_ChIP_repN1	DLX190407-10	ChIP		SP9_BG_E13.5_ChIP_repN1	BG	SP9	WT	E13.5	N1	no	SP9_BG_E13.5_ChIP_repN1	SP9_BG_E13.5_ChIP_repN1	bigWig	full	255	128	0	50	on	0	50	70142	mean

Input-SP9-BG-e13_S86_L008_R1_001.fastq.gz	SP9_E13.5	SP9_BG_E13.5_Input_repN1	DLX190407-10	Input		SP9_BG_E13.5_Input_repN1	BG	SP9	WT	E13.5	N1	no	SP9_BG_E13.5_Input_repN1	SP9_BG_E13.5_Input_repN1	bigWig	full	255	128	0	50	on	0	50	70143	

																									

SP9-ChIP_BG_e13_S151_L006_R1_001.fastq.gz	SP9_E13.5	SP9_BG_E13.5_ChIP_repN2	DLX190407-11	ChIP		SP9_BG_E13.5_ChIP_repN2	BG	SP9	WT	E13.5	N2	no	SP9_BG_E13.5_ChIP_repN2	SP9_BG_E13.5_ChIP_repN2	bigWig	full	255	128	0	50	on	0	50	70145	mean

SP9-input_BG_e13_S150_L006_R1_001.fastq.gz	SP9_E13.5	SP9_BG_E13.5_Input_repN2	DLX190407-11	Input		SP9_BG_E13.5_Input_repN2	BG	SP9	WT	E13.5	N2	no	SP9_BG_E13.5_Input_repN2	SP9_BG_E13.5_Input_repN2	bigWig	full	255	128	0	50	on	0	50	70146	

																									

SP9-ChIP_BG_e13_rep3_S48_R1_001.fastq.gz	SP9_E13.5	SP9_BG_E13.5_ChIP_repN3	DLX190407-12	ChIP		SP9_BG_E13.5_ChIP_repN3	BG	SP9	WT	E13.5	N3	no	SP9_BG_E13.5_ChIP_repN3	SP9_BG_E13.5_ChIP_repN3	bigWig	full	255	128	0	50	on	0	50	70148	mean

input_BG_e13_SP9_rep3_S47_R1_001.fastq.gz	SP9_E13.5	SP9_BG_E13.5_Input_repN3	DLX190407-12	Input		SP9_BG_E13.5_Input_repN3	BG	SP9	WT	E13.5	N3	no	SP9_BG_E13.5_Input_repN3	SP9_BG_E13.5_Input_repN3	bigWig	full	255	128	0	50	on	0	50	70149	

																									

# RBBP4																									

